fact_date,cartera_key,cartera_name,assignees,assign,status,estimated_mrc_value,estimated_otc_value,estimated_trx_value,country,type,opportunity_type,vertical,priority,space_id,space_name,cliente,cartera_closing_date,cartera_closing_estimated_date,cartera_created_date,cartera_due_date,cartera_start_date
5/31/2025,868crxtbc,COMPANEX,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Lead Calificado,10000,12300,2500,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,COMPANEX,,,2/24/2025,2/24/2025,
5/31/2025,868crpfrj,SINTESIS SEMAPA,"[""Yerko Vargas""]",,Cerrado,,,7500,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,SINTESIS,3/24/2025,,2/24/2025,,
5/31/2025,868ckg3ww,LABORATORIOS COFAR S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Sin Respuesta,5000,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,,,,2/13/2025,,
5/31/2025,868cczazn,BANCOSOL | WIFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,4833,5800,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCOSOL,,8/31/2025,2/4/2025,,
5/31/2025,868ccqump,CINEMARK,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,CINEMARK,,,2/4/2025,3/10/2025,
5/31/2025,868c0502g,BANCO UNION,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Cerrado,22168.5,99000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,BANCO UNION,5/7/2025,5/30/2025,1/15/2025,4/30/2025,1/29/2025
5/31/2025,868c04ttd,BANCO BISA,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,29811,66147.5,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BANCO BISA,,,1/15/2025,7/7/2025,
5/31/2025,868bt5tvh,BBO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,5000,1000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BBO SA,,,1/7/2025,,
5/31/2025,868ckfzqa,BANCO INDUSTRIAL ESV,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCO INDUSTRIAL,,,2/13/2025,,
5/31/2025,868ckfyk7,SOBOCE S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,5000,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2/13/2025,,
5/31/2025,868ckfy3j,DROGUERIA INTI S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,5000,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2/13/2025,,
5/31/2025,868ckfxde,MULTICINE,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,2500,180000,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Urgent,90113131698,Negocios,MULTICINE,,6/30/2025,2/13/2025,6/2/2025,
5/31/2025,868ckfwq6,PROMUJER IFD,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,,Digitalización & IA,,90113131698,Negocios,TIGO BO,,,2/13/2025,,
5/31/2025,868ceamk5,TIGO B2C | ESV,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,New Sell,Digitalización & IA,,90113131698,Negocios,TIGO BO,,,2/6/2025,,
5/31/2025,868ce9hck,AEROMAN,"[""Luis Nemtala""]",Luis Nemtala,Propuesta,70200.23,824770,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,,,2/6/2025,2/13/2025,
5/31/2025,868ce9eyk,CEPA,"[""Luis Nemtala""]",Luis Nemtala,Cerrado,2396.95,17974.9,,El Salvador,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,3/24/2025,,2/6/2025,2/13/2025,
5/31/2025,868ce99hw,PMU | AGRISAL,"[""Luis Nemtala""]",Luis Nemtala,Cerrado,,,,El Salvador,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,3/24/2025,,2/6/2025,2/13/2025,
5/31/2025,868ce995e,CRECER IFD,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,,Digitalización & IA,,90113131698,Negocios,TIGO BO,,,2/6/2025,,
5/31/2025,868bt5t9m,CAINCO,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,1/7/2025,,
5/31/2025,868bt5mju,COPELME,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000,7000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,COPELME,,,1/7/2025,,
5/31/2025,868bqac09,EMBOL (CLASIFICACIÓN DE CANALES),"[""Franz Claure""]",Fernando Claure,Negociacion,5000,10000,,Bolivia,Directa,New Sell,Software & Dev,Urgent,90113131698,Negocios,EMBOL,,6/25/2025,1/5/2025,12/13/2024,
5/31/2025,868bqac05,NESTLE,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,10290,28594,,Bolivia,Directa,New Sell,Digitalización & IA,Urgent,90113131698,Negocios,NESTLE,3/24/2025,,1/5/2025,2/6/2025,
5/31/2025,868bt5mah,MADEPA,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,5000,10000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,MADEPA,,,1/7/2025,,4/1/2025
5/31/2025,868bt5jtb,ECONOMICO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,5000,10000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BANCO ECONOMICO,,,1/7/2025,,
5/31/2025,868bt5jk7,FINILAGER,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,FINILAGER,,,1/7/2025,3/7/2025,
5/31/2025,868bt5jey,VENADO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,VENADO,,,1/7/2025,,
5/31/2025,868bt3p5k,E Solutions TIGO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,13500,25000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,,1/7/2025,3/31/2025,1/9/2025
5/31/2025,868bqac0e,ITACAMBA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,22781.85,37618.77,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,ITACAMBA,3/24/2025,,1/5/2025,10/29/2024,
5/31/2025,868bqac08,DELIZIA,"[""Luis Nemtala""]",Luis Nemtala,Propuesta,7767,7000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,DELIZIA,,4/30/2025,1/5/2025,12/10/2024,
5/31/2025,868bqac06,SOFIA B2C,"[""Laura Saucedo""]",Laura Saucedo,Sin Respuesta,3215,3434,,Bolivia,Directa,Upsell,Digitalización & IA,High,90113131698,Negocios,SOFIA,,,1/5/2025,1/6/2025,
